source_domain,source_url,current_page_type,current_positioning,target_action,target_url,content_to_preserve,content_to_remove,content_to_rewrite,seo_notes,navigation_status,language,implementation_status
.com,/,App-shell home,Advisor+Psychotherapist for tech founders & solopreneurs,REWRITE,/,Personal intro tone; two-track idea; latest-writing block,"Founder/solopreneur persona framing; ""tech"" as ICP; Start Here persona links",Full rebuild to new positioning (Business Advisor + Therapist; build something of your own); add cause/effect + counterpoint + who-for + one case,Update title/description/OG/schema to new positioning; add hreflang to /el/,In nav (Home/logo),en,DONE
.com,/1-to-1/,New page,n/a,KEEP (new),/1-to-1/,n/a,n/a,New offer page mining /how-i-work/ + persona work sections,New canonical; hreflang to /el/1-to-1/; add to sitemap+prerender,In nav (1:1),en,DONE
.com,/about/,Static (no nav),About the advisor/psychotherapist,REWRITE,/about/,Background; credentials (BACP; 18+ yrs; 500+); two-track framing,Old persona links (founders/solopreneurs) as primary,Reframe around business+psychology convergence; add ambition-is-not-pathology idea; convert to app-shell for nav,Keep canonical; add hreflang to /el/about/,In nav (About),en,DONE
.com,/reviews/,Static (no nav),Testimonials from founders/executives/senior tech,KEEP,/reviews/,All 15 testimonials verbatim,"Intro line ""founders, executives, senior tech professionals"" persona framing",Reframe intro to new positioning; group loosely by outcome; convert to app-shell,Keep canonical; add hreflang to /el/reviews/,In nav (Reviews),en,DONE
.com,/book/,App-shell,Fit-call booking (Calendly),KEEP,/book/,Calendly widget; 3-step explanation; email fallback,Ask-me-anything cross-link if AMA retired,Light copy refresh to new positioning,Keep canonical; add hreflang to /el/book/,CTA (Book a fit call),en,DONE
.com,/confidentiality/,App-shell,Confidentiality for founders/solopreneurs,KEEP,/confidentiality/,Whole page (strong asset); TODO(confirm) markers,Founder/solopreneur-only framing in intro,Broaden audience references to new positioning; keep safeguards intact,Keep canonical; add hreflang to /el/confidentiality/,Footer,en,DONE
.com,/how-i-work/,App-shell,Method/differentiation,MERGE + 301,/1-to-1/,3-step model; two-track cards; cadence; what-it-costs; what-this-is-not,Standalone page role,Best material absorbed into / and /1-to-1/,301 to /1-to-1/; remove from sitemap+nav,Removed from nav,en,DONE
.com,/founders/,App-shell persona,Founder advisory,MERGE + 301,/1-to-1/,Cause/effect PatternList; two-track; founder case; testimonials,Persona-page IA,Material mined into homepage cause/effect + 1:1,301 to /1-to-1/; remove from sitemap+nav,Removed from nav,en,DONE
.com,/solopreneurs/,App-shell persona,Solopreneur advisory,MERGE + 301,/,Cause/effect PatternList (primary homepage source); two-track; solo case,Persona-page IA,"Best copy becomes homepage core (§13); 301 to / (closest content alignment)",301 to /; remove from sitemap+nav,Removed from nav,en,DONE
.com,/therapy-for-founders/,App-shell specialty,Therapy for founders,301,/1-to-1/,Any still-true copy for llms/blog,Brand-defining ""therapy for founders"" framing,n/a (redirect),301 to /1-to-1/; remove from sitemap; drop from nav/llms,Removed,en,DONE
