old_url,current_domain,language,page_type,status,title,canonical,proposed_new_url,action,equivalent_language_url,redirect_target,risk,notes
https://aggelosmouzakitis.com/,aggelosmouzakitis.com,en,homepage,200 (assumed live),Advisor & Psychotherapist for Tech Founders & Solopreneurs | Aggelos Mouzakitis,https://aggelosmouzakitis.com/,https://aggelosmouzakitis.com/,KEEP_COM,https://aggelosmouzakitis.com/el/,,Med,English home stays at root. Pair hreflang with /el/ home; single x-default -> English /. Currently x-default self-refs .com only.
https://aggelosmouzakitis.com/404.html,aggelosmouzakitis.com,en,error-404,404,Page not found | Aggelos Mouzakitis,,https://aggelosmouzakitis.com/404.html,KEEP_COM,,,Low,"noindex,follow (correct). Netlify serves 404 status. Keep as global 404."
https://aggelosmouzakitis.com/about/,aggelosmouzakitis.com,en,about,200 (assumed live),About Aggelos Mouzakitis | Advisor & Licensed Psychotherapist,https://aggelosmouzakitis.com/about/,https://aggelosmouzakitis.com/about/,KEEP_COM,https://aggelosmouzakitis.com/el/about/,,Low,Genuine language equivalent of GR /about/. Add reciprocal hreflang.
https://aggelosmouzakitis.com/admin/,aggelosmouzakitis.com,en,cms-admin,200 (noindex),Content Manager,,https://aggelosmouzakitis.com/admin/,KEEP_COM,,,Low,"Decap/Netlify CMS. noindex,nofollow + X-Robots-Tag noindex header. Non-content; keep excluded."
https://aggelosmouzakitis.com/ask-me-anything/,aggelosmouzakitis.com,en,engagement,200 (assumed live),Ask Me Anything | Aggelos Mouzakitis,https://aggelosmouzakitis.com/ask-me-anything/,https://aggelosmouzakitis.com/ask-me-anything/,KEEP_COM,,,Low,English-only engagement page. No Greek equivalent; keep en-only / self x-default.
https://aggelosmouzakitis.com/blog/,aggelosmouzakitis.com,en,blog-index,200 (assumed live),Writing on Founder Psychology & Performance | Aggelos Mouzakitis,https://aggelosmouzakitis.com/blog/,https://aggelosmouzakitis.com/blog/,KEEP_COM,,,Low,English editorial hub. No Greek blog exists; keep en-only.
https://aggelosmouzakitis.com/blog/high-functioning-burnout-pandemic/,aggelosmouzakitis.com,en,blog-post,200 (assumed live),High-functioning burnout pandemic | Aggelos Mouzakitis,https://aggelosmouzakitis.com/blog/high-functioning-burnout-pandemic/,https://aggelosmouzakitis.com/blog/high-functioning-burnout-pandemic/,KEEP_COM,,,Low,English essay/video article. No Greek equivalent; keep en-only / self x-default.
https://aggelosmouzakitis.com/blog/high-performance-as-a-way-to-get-accepted-by-your-family/,aggelosmouzakitis.com,en,blog-post,200 (assumed live),High performance as a way to get accepted by your family | Aggelos Mouzakitis,https://aggelosmouzakitis.com/blog/high-performance-as-a-way-to-get-accepted-by-your-family/,https://aggelosmouzakitis.com/blog/high-performance-as-a-way-to-get-accepted-by-your-family/,KEEP_COM,,,Low,English essay/video article. No Greek equivalent; keep en-only / self x-default.
https://aggelosmouzakitis.com/blog/is-it-post-holiday-anxiety-or-just-clarity/,aggelosmouzakitis.com,en,blog-post,200 (assumed live),"Is it ""post-holiday anxiety"" or just clarity? | Aggelos Mouzakitis",https://aggelosmouzakitis.com/blog/is-it-post-holiday-anxiety-or-just-clarity/,https://aggelosmouzakitis.com/blog/is-it-post-holiday-anxiety-or-just-clarity/,KEEP_COM,,,Low,English essay/video article. No Greek equivalent; keep en-only / self x-default.
https://aggelosmouzakitis.com/blog/post-template.html,aggelosmouzakitis.com,en,blog-template,200 (noindex),POST_TITLE | Aggelos Mouzakitis,https://aggelosmouzakitis.com/blog/POST_SLUG/,https://aggelosmouzakitis.com/blog/post-template.html,KEEP_COM,,,Med,"Placeholder template (POST_TITLE/POST_DESCRIPTION). noindex ONLY via Netlify X-Robots-Tag header, not in-HTML meta. Preserve header on consolidated host or add meta noindex."
https://aggelosmouzakitis.com/blog/self-analysis-as-a-meta-way-to-maintain-control/,aggelosmouzakitis.com,en,blog-post,200 (assumed live),Self-analysis as a meta way to maintain control | Aggelos Mouzakitis,https://aggelosmouzakitis.com/blog/self-analysis-as-a-meta-way-to-maintain-control/,https://aggelosmouzakitis.com/blog/self-analysis-as-a-meta-way-to-maintain-control/,KEEP_COM,,,Low,English essay/video article. No Greek equivalent; keep en-only / self x-default.
